_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-12-19 05:00:00+00:00,138.0,138.77,137.45,138.1,20666437.0,187556.0,138.084249
GOOG,2023-12-20 05:00:00+00:00,140.33,143.0783,139.41,139.66,33517609.0,351756.0,141.13471
GOOG,2023-12-21 05:00:00+00:00,140.77,142.03,140.4725,141.8,18107174.0,207610.0,141.376601
GOOG,2023-12-22 05:00:00+00:00,142.13,143.25,142.055,142.72,18497037.0,200069.0,142.613877
GOOG,2023-12-26 05:00:00+00:00,142.98,143.945,142.5001,142.82,11170812.0,132422.0,142.945569
GOOG,2023-12-27 05:00:00+00:00,142.83,143.32,141.0512,141.44,17289341.0,175837.0,141.598907
GOOG,2023-12-28 05:00:00+00:00,141.85,142.27,140.8283,141.28,12192915.0,150372.0,141.411921
GOOG,2023-12-29 05:00:00+00:00,140.68,141.435,139.9,140.93,14875558.0,166253.0,140.778186
GOOG,2024-01-02 05:00:00+00:00,139.6,140.6147,137.74,139.56,20076668.0,229087.0,139.12848
GOOG,2024-01-03 05:00:00+00:00,138.6,141.09,138.43,140.36,18976882.0,191902.0,140.1391
GOOG,2024-01-04 05:00:00+00:00,139.85,140.635,138.01,138.04,18255103.0,182309.0,138.922152
GOOG,2024-01-05 05:00:00+00:00,138.352,138.81,136.85,137.39,15435182.0,174482.0,137.665394
GOOG,2024-01-08 05:00:00+00:00,138.0,140.64,137.88,140.53,17646935.0,166688.0,139.742481
GOOG,2024-01-09 05:00:00+00:00,140.06,142.7998,139.79,142.56,19585850.0,215361.0,141.956368
GOOG,2024-01-10 05:00:00+00:00,142.52,144.525,142.46,143.8,16642821.0,191548.0,143.617413
GOOG,2024-01-11 05:00:00+00:00,144.895,146.66,142.215,143.67,17476618.0,221387.0,143.800251
GOOG,2024-01-12 05:00:00+00:00,144.34,144.74,143.36,144.24,13996298.0,153551.0,144.224429
